What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:   Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income suburbs where it can go unnoticed. Employing cheap materials goes against the standards that almost every USA company in the same industry follow but Crimson One owners don’t mind. The strategy is a success for Crimson One and the business owners decide to stick with it. However many American homeowners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total G,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
"Crimson One's behavior is immoral, illegal, and they are targeting vulnerable minority populations that don't deserve it.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I consider that the behavior of Crimson One is unacceptable.  I think that the use of cheaper materials to build homes in low income areas is problematic and also displays devaluing of individuals.,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
I feel that the behavior of Crimson One is something that is typical amongst people who try to cheat their customers and that as a customer you need to be diligent in not working with scummy companies. I think its ultimately a negative for society as a whole for one individual/company to skim off the top like this because of how it damages the greater good of society.,,,7,1,7,1,7,2,7,1,7,7,6,7,55,1,2,6,7,1,1,7,7,2,7,7
It's disgusting and they should be ashamed of themselves ,,,7,1,7,1,7,1,6,1,7,7,7,7,55,3,6,6,6,1,3,6,3,1,7,7
It is unethical and immoral. It looks for short term selfish gain and ignores long term negative consequences for those they build homes for.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
It is not good.,,,6,2,5,2,6,2,6,2,6,6,6,6,47,2,2,6,6,2,2,6,6,2,6,6
I think it is unethical and they are cutting corners to increase profits.,,,7,1,6,1,7,1,6,1,7,7,7,7,54,3,4,6,7,1,1,6,6,1,7,7
Too profit oriented,,,7,2,7,1,7,1,7,1,6,7,7,7,55,1,1,7,6,2,2,6,6,1,7,7
It’s disgusting. I can’t help but think of the phrase it’s expensive to be poor. I hope someone seeks legal action because this is wrong and discriminatory.,,,7,1,6,1,6,1,4,1,7,7,7,7,51,1,1,5,7,1,1,7,7,1,7,6
It is because of behavior like this that there is so much government regulation.  Crimson One will eventually pay for this substandard behavior with a negative reputation.,,,6,1,7,1,7,2,6,2,7,7,6,6,52,2,1,4,5,1,2,6,5,1,6,7
